73,income,0.9461,0.7677,0.8213
73,marital,0.9928,0.9729,0.9836
74,income,0.9473,0.762,0.7974
74,marital,0.9929,0.9711,0.9878
75,income,0.9475,0.7494,0.8159
75,marital,0.9938,0.9806,0.9852
76,income,0.9468,0.7586,0.8528
76,marital,0.9929,0.9676,0.9889
77,income,0.9461,0.755,0.8486
77,marital,0.9925,0.9736,0.9852
78,income,0.9475,0.761,0.8128
78,marital,0.9939,0.971,0.9874
79,income,0.9452,0.7493,0.7846
79,marital,0.994,0.9691,0.9883
80,income,0.9464,0.785,0.837
80,marital,0.992,0.9729,0.9856
81,income,0.9456,0.7718,0.8072
81,marital,0.9939,0.9774,0.9865
82,income,0.947,0.7527,0.7987
82,marital,0.9939,0.9795,0.9883
83,income,0.9469,0.7449,0.7887
83,marital,0.9939,0.9759,0.9881
84,income,0.9476,0.7527,0.82
84,marital,0.9925,0.9824,0.9877
85,income,0.9474,0.7492,0.8009
85,marital,0.9937,0.9763,0.9892
86,income,0.9479,0.7584,0.8068
86,marital,0.9941,0.9692,0.9891
87,income,0.9475,0.761,0.8114
87,marital,0.9939,0.9837,0.988
88,income,0.9472,0.7341,0.7826
88,marital,0.9938,0.9751,0.9868
89,income,0.9455,0.7505,0.8032
89,marital,0.9929,0.9675,0.9825
90,income,0.9454,0.761,0.8779
90,marital,0.9939,0.9712,0.9879
91,income,0.9465,0.7454,0.7861
91,marital,0.9927,0.9715,0.9853
92,income,0.9451,0.7762,0.8883
92,marital,0.9936,0.9678,0.9856
93,income,0.9477,0.7405,0.8107
93,marital,0.9918,0.9693,0.9869
94,income,0.9478,0.7528,0.7996
94,marital,0.9937,0.9725,0.9883
95,income,0.9458,0.7732,0.8122
95,marital,0.9932,0.9699,0.9876
96,income,0.9478,0.7435,0.7893
96,marital,0.9936,0.9818,0.9873
97,income,0.9474,0.7435,0.795
97,marital,0.9937,0.9693,0.9886
98,income,0.9459,0.7612,0.8649
98,marital,0.9937,0.9685,0.9869
99,income,0.9476,0.7477,0.796
99,marital,0.9932,0.9709,0.9878
0,income,0.5259,0.5369,0.5264
0,marital,0.9711,0.9539,0.9615
1,income,0.5307,0.5491,0.5337
1,marital,0.975,0.9581,0.9662
2,income,0.7407,0.7587,0.7602
2,marital,0.9879,0.9614,0.9828
3,income,0.6109,0.6294,0.63
3,marital,0.9577,0.9431,0.9455
4,income,0.7243,0.7554,0.7627
4,marital,0.9848,0.9693,0.9792
5,income,0.6451,0.6691,0.671
5,marital,0.992,0.9511,0.9714
6,income,0.6162,0.6369,0.6416
6,marital,0.9833,0.9635,0.9743
7,income,0.6286,0.6551,0.6564
7,marital,0.9864,0.9737,0.9777
8,income,0.664,0.6939,0.6983
8,marital,0.9821,0.9687,0.9719
